"","DATETIME","SDI_1776","SDI_2091","SDI_1721","SDI_1874"
"341","05/01/2018 00:00",44315.7173129,726134.81028,10010978,17149.8400538
"342","06/01/2018 00:00",52679.5703467,786437.69471,9748427.4,16566.8513889
"343","07/01/2018 00:00",65445.4030968,966501.15844,9799183.6,13337.313172
"344","08/01/2018 00:00",69905.3081774,973673.92076,9918407.6,12175.6733871
"345","09/01/2018 00:00",57683.591,754689.05409,9869813.4,12177.2777778
"346","10/01/2018 00:00",42062.2779677,725479.47809,9888736.4,10420.3454301
"347","11/01/2018 00:00",42048.3202,729668.08953,9872281.2,11590.0666667
"348","12/01/2018 00:00",36407.7696258,791885.82689,10132316,7607.7567204
"349","01/01/2019 00:00",30241.0812774,909714.88729,10493168,7916.5282231
"350","02/01/2019 00:00",27999.3791786,856473.19372,10682431.2,11183.3407738
"351","03/01/2019 00:00",31744.8762742,991373.97177,10877758.4,12005.522736
"352","04/01/2019 00:00",39495.5011,837803.81265,10766532,15154.9097222
"353","05/01/2019 00:00",45235.4731581,827342.84669,10555207.2,16092.2567204
"354","06/01/2019 00:00",54127.664,833472.64452,10405097.2,15327.2444444
"355","07/01/2019 00:00",67278.1571613,877079.34705,10246014,15393.3239247
"356","08/01/2019 00:00",71272.328629,963681.16716,10298898,13040.9435484
"357","09/01/2019 00:00",58712.1315667,744508.84035,10261098,11692.925
"358","10/01/2019 00:00",42756.5633419,658971.90842,10228416,10187.2997312
"359","11/01/2019 00:00",39903.66344,741643.33975,10332554,9660.8055253
"360","12/01/2019 00:00",37428.1162839,867831.28157,10899373.4,3575.7044086
"361","01/01/2020 00:00",31268.6515742,834871.73098,11264958,6585.7284946
"362","02/01/2020 00:00",28953.5049517,743190.08917,11404632.46,9681.1034483
"363","03/01/2020 00:00",32644.1662871,856181.58194,11609664.74,9644.3064516
"364","04/01/2020 00:00",40667.8003667,713278.68584,11415192.22,14482.6861111
"365","05/01/2020 00:00",46269.1825935,661914.84362,10971317.6,17189.219086
"366","06/01/2020 00:00",54881.37088,669225.33745,10605496,16356.2694444
"367","07/01/2020 00:00",67741.9942194,785325.82409,10398335.6,14666.4045699
"368","08/01/2020 00:00",71512.3324355,901908.63182,10348551.6,13777.1680107
"369","09/01/2020 00:00",58833.1359,658432.52035,10278738,10853.9097222
"370","10/01/2020 00:00",42695.7961839,675221.72983,10167362.8,11869.219086
"371","11/01/2020 00:00",42470.66259,696164.96463,10099829,12006.0444444
"372","12/01/2020 00:00",36807.7908,777630.59665,10321613.2,8083.3037634
"373","01/01/2021 00:00",30381.043471,830764.70259,10510144,9638.4462366
"374","02/01/2021 00:00",28070.3281179,726101.05892,10621722,10341.0279503
"375","03/01/2021 00:00",31338.8824355,728009.9868,10378070.6,15373.6370968
"376","04/01/2021 00:00",38434.2443,661824.96807,9953078,17759.9930556
"377","05/01/2021 00:00",43259.8518258,634590.42722,9479648,17357.5967742
"378","06/01/2021 00:00",51033.35744,622060.92408,9102068,15777.4217995
"379","07/01/2021 00:00",62974.3011613,849492.4648,9013804,14013.6061828
"380","08/01/2021 00:00",66857.4173871,878148.22683,9038182.4,12463.1967561
"381","09/01/2021 00:00",55027.2506,670471.06186,9016163.2,10358.1861111
"382","10/01/2021 00:00",50500.2835016,571287.0187,8944773.6,9442.1040486
"383","11/01/2021 00:00",43950.904328,546703.47114,8804441.8,10794.5633333
"384","12/01/2021 00:00",36036.1189645,666374.02574,8915049.2,8173.5577957
