"","DATETIME","PowerRelease","TotalRelease","BypassRelease","SpillwayRelease"
"195","05/09/2024 02:00",7132.91,7132.91,0,0
"196","05/09/2024 03:00",7228.91,7228.91,0,0
"197","05/09/2024 04:00",8745.84,8745.84,0,0
"198","05/09/2024 05:00",8745.84,8745.84,0,0
"199","05/09/2024 06:00",11158.88,11158.88,0,0
"200","05/09/2024 07:00",10168.51,10168.51,0,0
"201","05/09/2024 08:00",10168.51,10168.51,0,0
"202","05/09/2024 09:00",8454.1,8454.1,0,0
"203","05/09/2024 10:00",9471.78,9471.78,0,0
"204","05/09/2024 11:00",9471.78,9471.78,0,0
"205","05/09/2024 12:00",9864.42,9864.42,0,0
"206","05/09/2024 13:00",9864.42,9864.42,0,0
"207","05/09/2024 14:00",10547.7,10547.7,0,0
"208","05/09/2024 15:00",11979.57,11979.57,0,0
"209","05/09/2024 16:00",11979.57,11979.57,0,0
"210","05/09/2024 17:00",12181.73,12181.73,0,0
"211","05/09/2024 18:00",12178.82,12178.82,0,0
"212","05/09/2024 19:00",12178.82,12178.82,0,0
"213","05/09/2024 20:00",12114.31,12114.31,0,0
"214","05/09/2024 21:00",11988.54,11988.54,0,0
"215","05/09/2024 22:00",11988.54,11988.54,0,0
"216","05/09/2024 23:00",9646,9646,0,0
"217","05/10/2024 00:00",7329.85,7329.85,0,0
"218","05/10/2024 01:00",7329.85,7329.85,0,0
"219","05/10/2024 02:00",7047.42,7047.42,0,0
"220","05/10/2024 03:00",7186.78,7186.78,0,0
"221","05/10/2024 04:00",7186.78,7186.78,0,0
"222","05/10/2024 05:00",8557.25,8557.25,0,0
"223","05/10/2024 06:00",11354.51,11354.51,0,0
"224","05/10/2024 07:00",11354.51,11354.51,0,0
"225","05/10/2024 08:00",9800.66,9800.66,0,0
"226","05/10/2024 09:00",9800.66,9800.66,0,0
"227","05/10/2024 10:00",9507.45,9507.45,0,0
"228","05/10/2024 11:00",9480.26,9480.26,0,0
"229","05/10/2024 12:00",9480.26,9480.26,0,0
"230","05/10/2024 13:00",10619.37,10619.37,0,0
"231","05/10/2024 14:00",10619.37,10619.37,0,0
"232","05/10/2024 15:00",10929.05,10929.05,0,0
"233","05/10/2024 16:00",12156.06,12156.06,0,0
"234","05/10/2024 17:00",12156.06,12156.06,0,0
"235","05/10/2024 18:00",12112.01,12112.01,0,0
"236","05/10/2024 19:00",12155.08,12155.08,0,0
"237","05/10/2024 20:00",12155.08,12155.08,0,0
"238","05/10/2024 21:00",12105.99,12105.99,0,0
"239","05/10/2024 22:00",11363.84,11363.84,0,0
"240","05/10/2024 23:00",9265,9265,0,0
"241","05/11/2024 00:00",7255,7255,0,0
"242","05/11/2024 01:00",6453.31,6453.31,0,0
"243","05/11/2024 02:00",6453.31,6453.31,0,0
