,2017,,Pre 2017,,Difference,
 ELEVATION (feet) , Active Storage (million acre-feet) , Area (acres) , Active Storage (million acre-feet) , Area (acres) ,Volume (million acre-feet),Area (acres)
3517, 5.1 ," 54,751 ", 5.4 ," 58,412 ", 0.4 ," 3,662 "
3518, 5.2 ," 55,101 ", 5.5 ," 58,767 ", 0.4 ," 3,666 "
3519, 5.2 ," 55,461 ", 5.6 ," 59,122 ", 0.4 ," 3,660 "
3520, 5.3 ," 55,809 ", 5.6 ," 59,476 ", 0.4 ," 3,667 "
3521, 5.3 ," 56,158 ", 5.7 ," 59,863 ", 0.4 ," 3,704 "
3522, 5.4 ," 56,508 ", 5.7 ," 60,249 ", 0.4 ," 3,741 "
3523, 5.4 ," 56,854 ", 5.8 ," 60,635 ", 0.4 ," 3,781 "
3524, 5.5 ," 57,201 ", 5.9 ," 61,022 ", 0.4 ," 3,821 "
3525, 5.5 ," 57,552 ", 5.9 ," 61,409 ", 0.4 ," 3,856 "
3526, 5.6 ," 57,901 ", 6.0 ," 61,795 ", 0.4 ," 3,894 "
3527, 5.7 ," 58,250 ", 6.1 ," 62,181 ", 0.4 ," 3,932 "
3528, 5.7 ," 58,609 ", 6.1 ," 62,568 ", 0.4 ," 3,959 "
3529, 5.8 ," 58,971 ", 6.2 ," 62,955 ", 0.4 ," 3,984 "
3530, 5.8 ," 59,344 ", 6.2 ," 63,341 ", 0.4 ," 3,997 "
3531, 5.9 ," 59,725 ", 6.3 ," 63,727 ", 0.4 ," 4,003 "
3532, 6.0 ," 60,097 ", 6.4 ," 64,114 ", 0.4 ," 4,017 "
3533, 6.0 ," 60,461 ", 6.4 ," 64,501 ", 0.4 ," 4,039 "
3534, 6.1 ," 60,825 ", 6.5 ," 64,887 ", 0.4 ," 4,062 "
3535, 6.1 ," 61,191 ", 6.6 ," 65,274 ", 0.4 ," 4,082 "
3536, 6.2 ," 61,555 ", 6.6 ," 65,660 ", 0.4 ," 4,105 "
3537, 6.3 ," 61,916 ", 6.7 ," 66,047 ", 0.4 ," 4,131 "
3538, 6.3 ," 62,278 ", 6.8 ," 66,433 ", 0.4 ," 4,155 "
3539, 6.4 ," 62,643 ", 6.8 ," 66,820 ", 0.4 ," 4,177 "
3540, 6.4 ," 63,017 ", 6.9 ," 67,206 ", 0.4 ," 4,189 "
3541, 6.5 ," 63,395 ", 7.0 ," 67,645 ", 0.4 ," 4,250 "
3542, 6.6 ," 63,775 ", 7.0 ," 68,083 ", 0.5 ," 4,309 "
3543, 6.6 ," 64,158 ", 7.1 ," 68,522 ", 0.5 ," 4,364 "
3544, 6.7 ," 64,539 ", 7.2 ," 68,961 ", 0.5 ," 4,422 "
3545, 6.8 ," 64,919 ", 7.2 ," 69,400 ", 0.5 ," 4,481 "
3546, 6.8 ," 65,301 ", 7.3 ," 69,839 ", 0.5 ," 4,537 "
3547, 6.9 ," 65,680 ", 7.4 ," 70,277 ", 0.5 ," 4,598 "
3548, 7.0 ," 66,063 ", 7.4 ," 70,716 ", 0.5 ," 4,653 "
3549, 7.0 ," 66,456 ", 7.5 ," 71,155 ", 0.5 ," 4,699 "
3550, 7.1 ," 66,845 ", 7.6 ," 71,594 ", 0.5 ," 4,748 "
3551, 7.2 ," 67,248 ", 7.7 ," 72,032 ", 0.5 ," 4,785 "
3552, 7.2 ," 67,650 ", 7.7 ," 72,471 ", 0.5 ," 4,821 "
3553, 7.3 ," 68,045 ", 7.8 ," 72,910 ", 0.5 ," 4,864 "
3554, 7.4 ," 68,450 ", 7.9 ," 73,348 ", 0.5 ," 4,898 "
3555, 7.4 ," 68,860 ", 7.9 ," 73,787 ", 0.5 ," 4,927 "
3556, 7.5 ," 69,262 ", 8.0 ," 74,226 ", 0.5 ," 4,964 "
3557, 7.6 ," 69,668 ", 8.1 ," 74,665 ", 0.5 ," 4,997 "
3558, 7.6 ," 70,069 ", 8.2 ," 75,104 ", 0.5 ," 5,034 "
3559, 7.7 ," 70,473 ", 8.2 ," 75,542 ", 0.5 ," 5,070 "
3560, 7.8 ," 70,886 ", 8.3 ," 75,981 ", 0.5 ," 5,095 "
3561, 7.9 ," 71,338 ", 8.4 ," 76,465 ", 0.5 ," 5,128 "
3562, 7.9 ," 71,754 ", 8.5 ," 76,950 ", 0.5 ," 5,195 "
3563, 8.0 ," 72,293 ", 8.6 ," 77,434 ", 0.6 ," 5,141 "
3564, 8.1 ," 72,719 ", 8.6 ," 77,918 ", 0.6 ," 5,199 "
3565, 8.1 ," 73,155 ", 8.7 ," 78,402 ", 0.6 ," 5,248 "
3566, 8.2 ," 73,577 ", 8.8 ," 78,887 ", 0.6 ," 5,310 "
3567, 8.3 ," 74,008 ", 8.9 ," 79,371 ", 0.6 ," 5,363 "
3568, 8.4 ," 74,447 ", 8.9 ," 79,855 ", 0.6 ," 5,408 "
